Variable,Source,dtype,Recommend Use,Use in Tree Model,Use in Linear Model,Observations
a,Original,categorical,Yes,Yes,Yes,"Weak predictor (IV=0.066)."
b,Original,continuous,Yes,Yes,Yes,"Weak predictor (AUC=0.562)."
c,Original,continuous,No,No,No,"Very weak predictor, almost random (AUC=0.511)."
d,Original,continuous,Yes,Yes,Yes,"Good predictor (AUC=0.615) with negative correlation."
e,Original,continuous,Yes,Yes,"No (use transform)","Base for many transformations. Skewed."
f,Original,continuous,Yes,Yes,"No (use transform)","Strongest original predictor (AUC=0.622)."
g,Original,categorical,Yes,Yes,Yes,"Weak geographic predictor (IV=0.069)."
h,Original,continuous,No,No,No,"Very weak predictor (AUC=0.519)."
j,Original,categorical,Yes,Yes,Yes,"Weak high-cardinality predictor (IV=0.082)."
l,Original,continuous,Yes,Yes,Yes,"Strong predictor (AUC=0.621)."
m,Original,continuous,Yes,Yes,Yes,"Moderate predictor (AUC=0.592)."
n,Original,categorical,Yes,Mandatory,Mandatory,"Strong binary predictor (IV=0.361)."
o,Original,categorical,Yes,Yes,Yes,"Base for the powerful o_is_missing feature."
p,Original,categorical,Yes,Mandatory,Mandatory,"Medium-strength binary predictor (IV=0.246)."
fecha,Original,datetime,Yes,Yes,Yes,"Base for temporal features."
monto,Original,continuous,Yes,Yes,"No (use transform)","Core economic variable, heavy-tailed."
score,Original,continuous,Yes,Mandatory,Mandatory,"Strongest single predictor (AUC=0.669). Likely pre-computed."
b_is_missing,Engineered,binary,No,No,No,"Useless predictor (IV=0.007)."
c_is_missing,Engineered,binary,No,No,No,"Useless predictor (IV=0.007)."
o_is_missing,Engineered,binary,Yes,Mandatory,Mandatory,"Very strong, ""super-predictor"" (IV=0.464). Potentially suspicious."
e_is_zero,Engineered,binary,No,No,No,"Useless predictor (IV=0.012)."
f_is_zero,Engineered,binary,Yes,Yes,Yes,"Weak but useful signal (IV=0.049)."
m_is_zero,Engineered,binary,Yes,Yes,Yes,"Weak but useful signal (IV=0.048)."
h_is_zero,Engineered,binary,No,No,No,"Useless predictor (IV=0.002)."
c_top1_flag,Engineered,binary,No,No,No,"Useless predictor (IV=0.007)."
e_top1_flag,Engineered,binary,No,No,No,"Useless predictor (IV=0.001)."
f_top1_flag,Engineered,binary,No,No,No,"Useless predictor (IV=0.011)."
monto_top1_flag,Engineered,binary,Yes,Yes,Yes,"Weak predictor (IV=0.023)."
bin_c,Engineered,categorical,Yes,"Not Necessary",Yes,"Medium predictor (IV=0.103). Unlocks value from weak raw c."
bin_d,Engineered,categorical,Yes,"Not Necessary",Yes,"Strong predictor (IV=0.309)."
bin_e,Engineered,categorical,Yes,"Not Necessary",Yes,"Weak predictor (IV=0.081)."
bin_f,Engineered,categorical,Yes,"Not Necessary",Yes,"Strong predictor (IV=0.320)."
bin_h,Engineered,categorical,No,No,No,"Useless predictor (IV=0.007)."
bin_k,Engineered,categorical,No,No,No,"Based on identifier k. Data leakage risk."
bin_l,Engineered,categorical,Yes,"Not Necessary",Yes,"Strong predictor (IV=0.324)."
bin_m,Engineered,categorical,Yes,"Not Necessary",Yes,"Medium predictor (IV=0.218)."
bin_score,Engineered,categorical,Yes,"Not Necessary",Yes,"Strong predictor (IV=0.439)."
bin_monto,Engineered,categorical,Yes,"Not Necessary",Yes,"Medium predictor (IV=0.101)."
a_rare_grouped,Engineered,categorical,No,No,No,"No significant improvement over original a."
j_rare_grouped,Engineered,categorical,Yes,Yes,Yes,"No significant improvement over original j."
j_freq_encoded,Engineered,continuous,Yes,Yes,Yes,"Alternative to j_rare_grouped. Weak predictor (AUC=0.542)."
hour,Engineered,categorical,No,No,No,"Weak predictor (IV=0.013)."
weekday,Engineered,categorical,No,No,No,"Useless predictor (IV=0.001)."
is_weekend,Engineered,binary,No,No,No,"Useless predictor (IV=0.000)."
hour_sin,Engineered,continuous,No,No,No,"Useless predictor (AUC=0.505)."
hour_cos,Engineered,continuous,No,No,No,"Useless predictor (AUC=0.501)."
monto_per_e,Engineered,continuous,No,No,No,"No improvement over original e (AUC=0.561)."
log_e,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for e."
log_f,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for f."
log_monto,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for monto."
yeojohnson_e,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for e."
yeojohnson_f,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for f."
boxcox_e,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for e."
boxcox_f,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for f."
boxcox_monto,Engineered,continuous,Yes,"Not Necessary",Yes,"Good transformation for monto."
interaction_monto_e,Engineered,continuous,No,No,No,"No improvement over original e (AUC=0.562)."
pca_beh_1,Engineered,continuous,Yes,Yes,Yes,"Good predictor (AUC=0.615). Reduces multicollinearity."
pca_beh_2,Engineered,continuous,No,No,No,"Useless predictor (AUC=0.501)."
pca_amt_1,Engineered,continuous,Yes,Yes,Yes,"Weak predictor (AUC=0.561). Reduces multicollinearity."
pca_amt_2,Engineered,continuous,No,No,No,"Useless predictor (AUC=0.500)."
