feature,feature_type,target,alpha,mw_p,ks,ks_p,r_pb,r_pb_p,auc,auc_abs,cohens_d,logit_beta,logit_or,logit_p,interpretation
b,continuous,fraude,0.05,1.1897992819377935e-66,0.10383103029522811,5.067965907485393e-60,0.03891876664996044,4.389087772447862e-47,0.5624961468474469,0.5624961468474469,0.18097295642636085,1.561758614542522,4.767197540563492,2.529703013391745e-47,mann_w_u: 0.000 (Significant) | ks: KS=0.104 (higher means better separation); p=5.068e-60 | point_biserial: r_pb=0.039 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.562 (Close to random) | cohens_d: d=0.181 (Negligible) | logit_wald: Significant
c,continuous,fraude,0.05,0.001996268566967122,0.050569702480989485,1.5236070483406217e-14,0.03322891448418523,8.706510172998403e-35,0.5112001290994066,0.5112001290994066,0.15448328948180165,1.2857956586459947e-07,1.000000128579574,2.38068249856472e-33,mann_w_u: 0.002 (Significant) | ks: KS=0.051 (higher means better separation); p=1.524e-14 | point_biserial: r_pb=0.033 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.511 (Close to random) | cohens_d: d=0.154 (Negligible) | logit_wald: Significant
d,continuous,fraude,0.05,5.197785081671355e-254,0.16635081814770103,3.842561485237247e-172,-0.07780679777581709,1.3166625587500938e-199,0.38466977775362954,0.6153302222463705,-0.3583292202231597,-0.019902220528388175,0.9802945213010126,5.802917324715067e-191,mann_w_u: 0.000 (Significant) | ks: KS=0.166 (higher means better separation); p=3.843e-172 | point_biserial: r_pb=-0.078 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.615 (Weak separation) | cohens_d: d=-0.358 (Small) | logit_wald: Significant
e,continuous,fraude,0.05,1.7514262630915046e-27,0.08440701754385965,1.3067725657730728e-44,-0.0022611970023091264,0.3811650573884544,0.4644004921637428,0.5355995078362572,-0.01037504075064729,-0.05006217769573003,0.9511702810857077,0.062490523145367155,mann_w_u: 0.000 (Significant) | ks: KS=0.084 (higher means better separation); p=1.307e-44 | point_biserial: r_pb=-0.002 (further from 0 is stronger); Not significant | single_feature_auc: AUC_abs=0.536 (Close to random) | cohens_d: d=-0.010 (Negligible) | logit_wald: Not significant
f,continuous,fraude,0.05,0.0,0.2778326598310512,0.0,-0.01048906348742306,4.858621347241824e-05,0.3168819188381793,0.6831180811618207,-0.04812777887054726,-0.0060356079223982334,0.993982569769571,7.193540197314507e-75,mann_w_u: 0.000 (Significant) | ks: KS=0.278 (higher means better separation); p=0.000e+00 | point_biserial: r_pb=-0.010 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.683 (Weak separation) | cohens_d: d=-0.048 (Negligible) | logit_wald: Significant
h,continuous,fraude,0.05,1.2383097452033717e-65,0.08569824561403505,5.651399372175339e-46,-0.03486388498239745,1.4274482425076599e-41,0.44154197146198837,0.5584580285380116,-0.1600627156607209,-0.012457890808052294,0.9876193874726366,3.0002140549501226e-41,mann_w_u: 0.000 (Significant) | ks: KS=0.086 (higher means better separation); p=5.651e-46 | point_biserial: r_pb=-0.035 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.558 (Close to random) | cohens_d: d=-0.160 (Negligible) | logit_wald: Significant
l,continuous,fraude,0.05,0.0,0.253038969557884,0.0,-0.11702300010799792,0.0,0.3246715521899936,0.6753284478100063,-0.5406306800649001,-0.00040412042058184664,0.9995959612250768,0.0,mann_w_u: 0.000 (Significant) | ks: KS=0.253 (higher means better separation); p=0.000e+00 | point_biserial: r_pb=-0.117 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.675 (Weak separation) | cohens_d: d=-0.541 (Medium) | logit_wald: Significant
m,continuous,fraude,0.05,0.0,0.23057600951641755,0.0,-0.09343725349319773,2.645485804440173e-287,0.34147060906403154,0.6585293909359684,-0.4308938513649865,-0.0019437620797350464,0.9980581258023803,3.550441252673463e-271,mann_w_u: 0.000 (Significant) | ks: KS=0.231 (higher means better separation); p=0.000e+00 | point_biserial: r_pb=-0.093 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.659 (Weak separation) | cohens_d: d=-0.431 (Small) | logit_wald: Significant
monto,continuous,fraude,0.05,5.049078387837292e-84,0.09894736842105256,3.554151176971301e-61,0.07378368328848789,4.36381907802158e-180,0.5664213660818714,0.5664213660818714,0.33946579238037966,0.001877463316116869,1.001879226853855,2.069168068023337e-118,mann_w_u: 0.000 (Significant) | ks: KS=0.099 (higher means better separation); p=3.554e-61 | point_biserial: r_pb=0.074 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.566 (Close to random) | cohens_d: d=0.339 (Small) | logit_wald: Significant
score,continuous,fraude,0.05,0.0,0.4315298245614035,0.0,0.17273716996077645,0.0,0.726275487251462,0.726275487251462,0.8046629388624412,0.031094211243245837,1.0315826859959858,0.0,mann_w_u: 0.000 (Significant) | ks: KS=0.432 (higher means better separation); p=0.000e+00 | point_biserial: r_pb=0.173 (further from 0 is stronger); Significant | single_feature_auc: AUC_abs=0.726 (Moderate separation) | cohens_d: d=0.805 (Large) | logit_wald: Significant
